i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredPauses 143731
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.reads 273272
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.writes 143731
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.activates 329482
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.precharges 329482
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.refreshes 57538
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaits 1645350
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitTotal 15355675
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.actWaitAverage 9.33277
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.measuredWriteTimes 143731
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.cancelCountHisto {0: 143730}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankEnergy 1.34859e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activeEnergy 3.58312e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstEnergy 2.53795e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshEnergy 7.36486e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bankPower 0.00225078W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.activePower 0.000598017W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.burstPower 0.000423581W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.bandwidth 624.229MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.dataCycles 1668012
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.powerCycles 68406158
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank3.utilization 0.0243839
