i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshPower 0.00122916W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bandwidth 559.88MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.dataCycles 133904
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.powerCycles 6122641
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.utilization 0.0218703
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.reads 25632
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.writes 7844
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activates 15816
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.precharges 15816
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeCycles 1752651
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.standbyCycles 4369990
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitActiveCycles 6333571
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitPrechargeCycles 17496050
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaits 20507
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitTotal 40685
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitAverage 1.98396
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.subArrayEnergy 2.81999e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activeEnergy 1.74294e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.burstEnergy 1.91301e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredPauses 8797
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.reads 22720
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writes 8797
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activates 16027
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.precharges 16026
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshes 19175
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaits 72599
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitTotal 1188332
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitAverage 16.3684
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredWriteTimes 8797
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelCountHisto {0: 8796}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankEnergy 2.81999e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activeEnergy 1.74294e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstEnergy 1.91301e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshEnergy 2.4544e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bankPower 0.00141224W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activePower 8.72857e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.burstPower 9.58031e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshPower 0.00122916W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.bandwidth 527.116MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.dataCycles 126068
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.powerCycles 6122641
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.utilization 0.0205905
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.reads 22720
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.writes 8797
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.activates 16027
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.precharges 16026
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.refreshes 19175
