i0.MultiQueueMigrator.migrationCount 262
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.utilization 0.0194521
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.reads 1613
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.writes 1504
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activates 1974
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.precharges 1974
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeCycles 177717
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.standbyCycles 463242
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitActiveCycles 602358
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitPrechargeCycles 2375536
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaits 1794
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitTotal 3537
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitAverage 1.97157
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.subArrayEnergy 3.3434e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activeEnergy 201405mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.burstEnergy 177512mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshEnergy 2.96448e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredPauses 1477
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.reads 1420
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writes 1477
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activates 1852
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.precharges 1852
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshes 2316
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaits 8916
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitTotal 138822
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitAverage 15.57
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredWriteTimes 1477
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.mlcTimingHisto {}
