i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activeEnergy 9.96792e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.burstEnergy 7.52764e+06mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshEnergy 3.20461e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredPauses 48855
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.reads 74570
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writes 48855
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activates 91659
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.precharges 91658
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshes 25036
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaits 472458
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitTotal 4963492
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitAverage 10.5057
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num00Writes 0
