i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.measuredWriteTimes 91733
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.mlcTimingHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.cancelCountHisto {0: 91732}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpPauseHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.subarray0.wpCancelHisto {}
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankEnergy 3.10171e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeEnergy 1.57926e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstEnergy 2.12354e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bankPower 0.00139582W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activePower 7.10692e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.burstPower 9.55628e-05W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshPower 0.00122919W
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.bandwidth 558.631MB/s
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.dataCycles 1400404
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.powerCycles 64175327
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.utilization 0.0218215
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.reads 258368
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.writes 91733
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activates 145219
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.precharges 145219
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.activeCycles 16344549
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.standbyCycles 47830778
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitActiveCycles 61125270
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.fastExitPrechargeCycles 208020469
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.slowExitPrechargeCycles 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaits 184883
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitTotal 367716
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.actWaitAverage 1.98891
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank1.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.decoder.migratedAccesses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.subArrayEnergy 3.09246e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activeEnergy 1.56262e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.burstEnergy 2.04772e+07mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshEnergy 2.73143e+08mA*t
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.cancelledWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.pausedWrites 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausesPerRequest 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredPauses 90519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averagePausedRequestProgress 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredProgresses 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.reads 246996
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.writes 90519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.activates 143689
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.precharges 143689
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.refreshes 213393
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseEndurance 18446744073709551615
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageEndurance 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaits 729305
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitTotal 12886486
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.actWaitAverage 17.6695
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.worstCaseWrite 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num00Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num01Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num10Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.num11Writes 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.averageWriteTime 0
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.measuredWriteTimes 90519
i0.defaultMemory.channel0.FRFCFS.channel0.rank0.bank2.subarray0.mlcTimingHisto {}
